month,debit,fc_cash,fc_margin
2010-02-01,263657.0,106131.0,164624.0
2010-03-01,277798.0,108908.0,162169.0
2010-04-01,295550.0,111217.0,160630.0
2010-05-01,268566.0,114051.0,166706.0
2010-06-01,263202.0,114265.0,172908.0
2010-07-01,267468.0,106290.0,172179.0
2010-08-01,268371.0,106870.0,174209.0
2010-09-01,288540.0,114321.0,173544.0
2010-10-01,303428.0,114784.0,176588.0
2010-11-01,309340.0,119305.0,176805.0
2010-12-01,313678.0,126098.0,182426.0
2011-01-01,326868.0,130894.0,173545.0
2011-02-01,348979.0,135760.0,179102.0
2011-03-01,355413.0,133386.0,170139.0
2011-04-01,360883.0,133131.0,175399.0
2011-05-01,355736.0,133727.0,175508.0
2011-06-01,345273.0,139575.0,183547.0
2011-07-01,344572.0,138316.0,182957.0
2011-08-01,308866.0,135508.0,193533.0
2011-09-01,298277.0,141806.0,204307.0
2011-10-01,317028.0,133639.0,188141.0
2011-11-01,303930.0,132934.0,188259.0
2011-12-01,301616.0,142533.0,189143.0
2012-01-01,309844.0,137309.0,174889.0
2012-02-01,323021.0,139609.0,177639.0
2012-03-01,330815.0,142297.0,182814.0
2012-04-01,335154.0,138909.0,182021.0
2012-05-01,315147.0,139111.0,187938.0
2012-06-01,320952.0,138937.0,192149.0
2012-07-01,313525.0,124330.0,194741.0
2012-08-01,320395.0,124276.0,196786.0
2012-09-01,339159.0,129389.0,205176.0
2012-10-01,342325.0,124800.0,200406.0
2012-11-01,351441.0,135650.0,202425.0
2012-12-01,355009.0,162206.0,211576.0
2013-01-01,388123.0,142856.0,199709.0
2013-02-01,390351.0,142123.0,208682.0
2013-03-01,403933.0,144530.0,197887.0
2013-04-01,408677.0,140706.0,191719.0
2013-05-01,401606.0,146765.0,199756.0
2013-06-01,407681.0,150093.0,200308.0
2013-07-01,412101.0,144495.0,194790.0
2013-08-01,414442.0,143808.0,195181.0
2013-09-01,432852.0,149895.0,197780.0
2013-10-01,445022.0,151494.0,199889.0
2013-11-01,456378.0,150214.0,199153.0
2013-12-01,478502.0,157000.0,197521.0
2014-01-01,487549.0,151878.0,195863.0
2014-02-01,502093.0,154049.0,190312.0
2014-03-01,487932.0,156083.0,194461.0
2014-04-01,475195.0,149801.0,194679.0
2014-05-01,475362.0,150474.0,188551.0
2014-06-01,502270.0,160293.0,184723.0
2014-07-01,498671.0,155931.0,177981.0
2014-08-01,501000.0,155245.0,180820.0
2014-09-01,503901.0,161621.0,183243.0
2014-10-01,492888.0,158624.0,185193.0
2014-11-01,496341.0,158420.0,184227.0
2014-12-01,495756.0,169295.0,181223.0
2015-01-01,485872.0,163599.0,178259.0
2015-02-01,504923.0,168371.0,170930.0
2015-03-01,518055.0,171625.0,170074.0
2015-04-01,549964.0,168430.0,167073.0
2015-05-01,541671.0,166334.0,169076.0
2015-06-01,547957.0,170614.0,168441.0
2015-07-01,530744.0,168659.0,169132.0
2015-08-01,515960.0,175647.0,168692.0
2015-09-01,497279.0,173760.0,167132.0
2015-10-01,513941.0,174437.0,163210.0
2015-11-01,515410.0,174607.0,165584.0
2015-12-01,503444.0,181812.0,159677.0
2016-01-01,487200.0,180616.0,162825.0
2016-02-01,474156.0,178989.0,168308.0
2016-03-01,483909.0,182673.0,172525.0
2016-04-01,495178.0,176016.0,187000.0
2016-05-01,489867.0,177161.0,187495.0
2016-06-01,487636.0,186233.0,189585.0
2016-07-01,513221.0,183435.0,188155.0
2016-08-01,510157.0,177764.0,185695.0
2016-09-01,540615.0,184757.0,182833.0
2016-10-01,523760.0,182051.0,182986.0
2016-11-01,539972.0,179598.0,187085.0
2016-12-01,529372.0,188062.0,189979.0
2017-01-01,553557.0,186301.0,186029.0
2017-02-01,568637.0,185720.0,184598.0
2017-03-01,577674.0,186892.0,184977.0
2017-04-01,590797.0,180908.0,184930.0
2017-05-01,582764.0,176970.0,185463.0
2017-06-01,584258.0,176707.0,187500.0
2017-07-01,594414.0,173195.0,184246.0
2017-08-01,596567.0,170524.0,183744.0
2017-09-01,606334.0,172872.0,183599.0
2017-10-01,607838.0,169368.0,184047.0
2017-11-01,627422.0,170948.0,185312.0
2017-12-01,642798.0,172999.0,182773.0
2018-01-01,665716.0,168450.0,181763.0
2018-02-01,645064.0,164657.0,183267.0
2018-03-01,645235.0,166148.0,180751.0
2018-04-01,652303.0,155989.0,179410.0
2018-05-01,668940.0,155344.0,181890.0
2018-06-01,646931.0,157150.0,179399.0
2018-07-01,652790.0,148947.0,178299.0
2018-08-01,652395.0,148873.0,178601.0
2018-09-01,648126.0,151384.0,188152.0
2018-10-01,607645.0,148037.0,183432.0
2018-11-01,592593.0,146452.0,178810.0
2018-12-01,554285.0,159572.0,190743.0
2019-01-01,568433.0,151804.0,186050.0
2019-02-01,581205.0,149686.0,181955.0
2019-03-01,574013.0,141074.0,180765.0
2019-04-01,588721.0,143802.0,178523.0
2019-05-01,568751.0,137489.0,179019.0
2019-06-01,596304.0,139826.0,179542.0
2019-07-01,602139.0,138703.0,182613.0
2019-08-01,564894.0,135567.0,181451.0
2019-09-01,555910.0,150648.0,187887.0
2019-10-01,554604.0,145650.0,183966.0
2019-11-01,563482.0,146935.0,186866.0
2019-12-01,579221.0,151543.0,186315.0
2020-01-01,561812.0,152854.0,186847.0
2020-02-01,545127.0,163001.0,197716.0
2020-03-01,479291.0,191046.0,226202.0
2020-04-01,524696.0,180942.0,217187.0
2020-05-01,552543.0,175794.0,210935.0
2020-06-01,584676.0,185497.0,229078.0
2020-07-01,613830.0,181420.0,223768.0
2020-08-01,645547.0,185113.0,215042.0
2020-09-01,654324.0,189462.0,211547.0
2020-10-01,659313.0,193293.0,217739.0
2020-11-01,722118.0,200723.0,221567.0
2020-12-01,778037.0,224987.0,227127.0
2021-01-01,798605.0,224133.0,241220.0
2021-02-01,813680.0,220840.0,240481.0
2021-03-01,822551.0,219522.0,237154.0
2021-04-01,847186.0,218132.0,233145.0
2021-05-01,861626.0,213356.0,234992.0
2021-06-01,882103.0,221862.0,239290.0
2021-07-01,844324.0,215463.0,195762.0
2021-08-01,911545.0,219365.0,198913.0
2021-09-01,903117.0,229279.0,205564.0
2021-10-01,935862.0,226159.0,200548.0
2021-11-01,918598.0,235638.0,211623.0
2021-12-01,910021.0,250435.0,215116.0
2022-01-01,829637.0,247752.0,194545.0
2022-02-01,835255.0,250686.0,195269.0
2022-03-01,799660.0,256076.0,196008.0
2022-04-01,772940.0,242724.0,188652.0
2022-05-01,752944.0,244857.0,184151.0
2022-06-01,683445.0,249399.0,186931.0
2022-07-01,696781.0,232147.0,177054.0
2022-08-01,687787.0,226182.0,175974.0
2022-09-01,664009.0,223400.0,173050.0
2022-10-01,649618.0,216057.0,172976.0
2022-11-01,643783.0,205158.0,165434.0
2022-12-01,606659.0,205902.0,164065.0
2023-01-01,641228.0,208720.0,161224.0
2023-02-01,624379.0,198644.0,159103.0
2023-03-01,645429.0,191618.0,152014.0
2023-04-01,631949.0,175460.0,145594.0
2023-05-01,644170.0,178576.0,147377.0
2023-06-01,681228.0,181569.0,145173.0
2023-07-01,709834.0,174804.0,147921.0
2023-08-01,689185.0,177711.0,145989.0
2023-09-01,680846.0,153918.0,141751.0
2023-10-01,635276.0,162865.0,142117.0
2023-11-01,660887.0,171207.0,146319.0
2023-12-01,700774.0,161639.0,147019.0
2024-01-01,701975.0,165025.0,144941.0
2024-02-01,742963.0,166144.0,150620.0
2024-03-01,784136.0,166990.0,151339.0
2024-04-01,775464.0,161749.0,149855.0
2024-05-01,809431.0,155256.0,145072.0
2024-06-01,809322.0,157240.0,149714.0
2024-07-01,810835.0,154951.0,150738.0
2024-08-01,797162.0,148702.0,152107.0
2024-09-01,813211.0,167901.0,158358.0
2024-10-01,815369.0,173621.0,164813.0
2024-11-01,890852.0,170052.0,167223.0
2024-12-01,899168.0,181280.0,175795.0
2025-01-01,937253.0,178301.0,166346.0
2025-02-01,918144.0,183278.0,176051.0
2025-03-01,880316.0,189855.0,176161.0
2025-04-01,850558.0,187958.0,175824.0
2025-05-01,920960.0,187685.0,176698.0
2025-06-01,1007961.0,200573.0,185584.0
2025-07-01,1022548.0,194712.0,186672.0
2025-08-01,1059723.0,188221.0,181563.0
2025-09-01,1126494.0,204106.0,194884.0
2025-10-01,1183654.0,197923.0,195376.0
2025-11-01,1214321.0,202131.0,194418.0
2025-12-01,1225597.0,211720.0,199762.0
2026-01-01,1279042.0,203700.0,196911.0
2026-02-01,1253192.0,205060.0,200047.0
2026-03-01,1220922.0,221860.0,205600.0
2026-04-01,1304281.0,217836.0,215445.0
2026-05-01,1415557.0,206600.0,217256.0
